"_id","CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","URL","avg_rain"
"5fcd3679ddd31d1b446f0528","2017-01-16","14:56","BRONX","10467","40.859596","-73.86573",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-16&enddate=2017-01-16&locationid=CITY:US360019",2.61
"5fcd3679ddd31d1b446f0529","2016-12-25","18:00","BROOKLYN","11233","40.669476","-73.919975",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-25&enddate=2016-12-25&locationid=CITY:US360019",78.6
"5fcd3679ddd31d1b446f052a","2017-01-06","8:05","QUEENS","11356","40.77657","-73.842606",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-06&enddate=2017-01-06&locationid=CITY:US360019",9.92
"5fcd3679ddd31d1b446f052b","2017-01-06","13:21","QUEENS","11101","40.753784","-73.93203",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-06&enddate=2017-01-06&locationid=CITY:US360019",9.92
"5fcd3679ddd31d1b446f052c","2016-12-27","11:00","MANHATTAN","10011","40.741077","-74.001564",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-27&enddate=2016-12-27&locationid=CITY:US360019",3.1
"5fcd3679ddd31d1b446f052d","2016-12-31","20:05","BRONX","10457","40.85429","-73.90027",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-31&enddate=2016-12-31&locationid=CITY:US360019",0.97
"5fcd3679ddd31d1b446f0530","2017-01-19","7:30","QUEENS","11365","40.73402","-73.80492",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-19&enddate=2017-01-19&locationid=CITY:US360019",2.96
"5fcd3679ddd31d1b446f0531","2017-01-21","23:10","BROOKLYN","11224","40.57362","-73.99613",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-21&enddate=2017-01-21&locationid=CITY:US360019",22.42
"5fcd3679ddd31d1b446f0536","2017-01-18","7:00","BROOKLYN","11219","40.62701","-74.00324",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-18&enddate=2017-01-18&locationid=CITY:US360019",119.75
"5fcd3679ddd31d1b446f0537","2017-01-17","0:52","QUEENS","11103","40.767963","-73.91169",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-17&enddate=2017-01-17&locationid=CITY:US360019",19.14
"5fcd3679ddd31d1b446f0538","2017-01-03","17:40","QUEENS","11691","40.604782","-73.754005",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-03&enddate=2017-01-03&locationid=CITY:US360019",92.52
"5fcd3679ddd31d1b446f053a","2016-12-25","18:15","QUEENS","11417","40.667114","-73.834656",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2016-12-25&enddate=2016-12-25&locationid=CITY:US360019",78.6
"5fcd3679ddd31d1b446f053c","2017-01-19","10:00","MANHATTAN","10029","40.790623","-73.942444",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-19&enddate=2017-01-19&locationid=CITY:US360019",2.96
"5fcd3679ddd31d1b446f053d","2017-01-03","23:35","BRONX","10462","40.84481","-73.85832",0,"0","https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&datatypeid=PRCP&limit=1000&startdate=2017-01-03&enddate=2017-01-03&locationid=CITY:US360019",92.52
